epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,682.64,0.88047,0.73145,1.36321,0.95434,0.88939,0.97254,0.62857,1.19679,0.58651,1.72713,0.0007328,0.0007328,0.0007328
66,694.016,0.91164,0.72128,1.37451,0.91484,0.91426,0.94297,0.62478,1.21271,0.5979,1.68755,0.000713,0.000713,0.000713
67,705.298,0.9315,0.74812,1.37628,0.97608,0.86823,0.91753,0.60981,1.20695,0.64932,1.68399,0.0006932,0.0006932,0.0006932
68,716.065,0.93758,0.7572,1.40879,0.92557,0.85106,0.85918,0.56882,1.32603,0.77848,1.79919,0.0006734,0.0006734,0.0006734
69,727.605,0.90063,0.7551,1.36653,0.9104,0.80851,0.92639,0.61117,1.24719,0.63941,1.82062,0.0006536,0.0006536,0.0006536
70,738.817,0.91105,0.74604,1.36702,0.85315,0.89362,0.90644,0.52878,1.41368,0.68261,1.94806,0.0006338,0.0006338,0.0006338
71,750.012,0.95747,0.75303,1.3802,0.86784,0.89362,0.92469,0.59139,1.37135,0.68817,1.86433,0.000614,0.000614,0.000614
72,761.809,0.90102,0.76257,1.37073,0.93237,0.95745,0.95139,0.61713,1.3309,0.6173,1.78294,0.0005942,0.0005942,0.0005942
73,774.88,0.89029,0.71177,1.35065,0.95732,0.95446,0.95227,0.62308,1.26703,0.5791,1.78457,0.0005744,0.0005744,0.0005744
74,787.509,0.9113,0.7311,1.39224,0.97713,0.90932,0.96365,0.59475,1.33336,0.59681,1.86581,0.0005546,0.0005546,0.0005546
75,800.911,0.88661,0.69928,1.34659,0.93204,0.87545,0.93547,0.61716,1.2194,0.60223,1.7701,0.0005348,0.0005348,0.0005348
76,821.512,0.87438,0.6802,1.32255,0.96905,0.89362,0.95324,0.63975,1.17791,0.58162,1.69613,0.000515,0.000515,0.000515
77,854.141,0.89311,0.70043,1.35874,0.97052,0.87234,0.95458,0.61554,1.25397,0.55756,1.77018,0.0004952,0.0004952,0.0004952
78,880.043,0.84759,0.6796,1.32988,0.91376,0.95745,0.96617,0.63209,1.23941,0.58325,1.7503,0.0004754,0.0004754,0.0004754
79,912.986,0.85939,0.69377,1.32698,0.95162,0.87234,0.92095,0.59143,1.25856,0.63051,1.76642,0.0004556,0.0004556,0.0004556
80,936.11,0.86604,0.6905,1.30753,0.87585,0.93617,0.93508,0.57661,1.23897,0.60526,1.73782,0.0004358,0.0004358,0.0004358
81,963.934,0.87579,0.68085,1.33999,0.97666,0.89054,0.9399,0.59936,1.26383,0.62435,1.76186,0.000416,0.000416,0.000416
82,992.5,0.88428,0.66973,1.34442,0.91251,0.91489,0.95094,0.60364,1.25862,0.55269,1.81508,0.0003962,0.0003962,0.0003962
83,1019.5,0.82111,0.6591,1.31579,0.91011,0.93617,0.96499,0.62757,1.19779,0.55071,1.73447,0.0003764,0.0003764,0.0003764
84,1048.11,0.90475,0.70433,1.3648,0.93279,0.88599,0.96732,0.62073,1.28185,0.57844,1.84069,0.0003566,0.0003566,0.0003566
85,1076.9,0.81579,0.66149,1.28887,0.91271,0.88997,0.96777,0.63029,1.28081,0.59352,1.82462,0.0003368,0.0003368,0.0003368
86,1111.57,0.81216,0.65305,1.29156,0.93006,0.84889,0.92723,0.58541,1.30296,0.66142,1.84948,0.000317,0.000317,0.000317
87,1139.42,0.81555,0.64731,1.30035,0.91438,0.93617,0.94465,0.60452,1.34063,0.62122,1.90568,0.0002972,0.0002972,0.0002972
88,1148.49,0.80781,0.62639,1.27758,0.96224,0.85106,0.95726,0.62374,1.30309,0.57228,1.84587,0.0002774,0.0002774,0.0002774
89,1157.23,0.80282,0.65821,1.28676,0.97271,0.87234,0.95635,0.62001,1.30955,0.58438,1.83039,0.0002576,0.0002576,0.0002576
90,1165.89,0.82969,0.67571,1.30698,0.92148,0.85106,0.91898,0.59345,1.32016,0.59998,1.86723,0.0002378,0.0002378,0.0002378
91,1215.28,0.70168,0.55947,1.30449,0.95453,0.89333,0.94605,0.60308,1.32283,0.58968,1.90491,0.000218,0.000218,0.000218
92,1239.05,0.67301,0.46839,1.25516,0.93237,0.91489,0.95119,0.59496,1.36864,0.58761,1.92999,0.0001982,0.0001982,0.0001982
93,1252.04,0.62972,0.44818,1.27057,0.92963,0.89362,0.95485,0.61146,1.28817,0.58316,1.86489,0.0001784,0.0001784,0.0001784
94,1260.76,0.62257,0.41802,1.24738,0.90811,0.89362,0.94474,0.62659,1.25427,0.59089,1.82641,0.0001586,0.0001586,0.0001586
95,1269.47,0.60511,0.42084,1.22725,0.88753,0.89362,0.93445,0.61653,1.27407,0.56581,1.81986,0.0001388,0.0001388,0.0001388
96,1278.02,0.58914,0.3959,1.19741,0.91265,0.88924,0.92832,0.60507,1.2843,0.57174,1.84847,0.000119,0.000119,0.000119
97,1286.95,0.60794,0.40557,1.23315,0.89567,0.91336,0.92935,0.61172,1.28329,0.56367,1.8397,9.92e-05,9.92e-05,9.92e-05
98,1295.97,0.57194,0.38855,1.18884,0.91111,0.91489,0.93168,0.61324,1.25829,0.56957,1.82429,7.94e-05,7.94e-05,7.94e-05
99,1304.56,0.60327,0.39933,1.21075,0.89535,0.91028,0.9243,0.61611,1.24114,0.56351,1.82059,5.96e-05,5.96e-05,5.96e-05
100,1313.31,0.59732,0.38442,1.19372,0.91476,0.91332,0.92974,0.61558,1.24088,0.5732,1.82254,3.98e-05,3.98e-05,3.98e-05
